cod_cnae_classe;CNAE Classe;cod_cnae_divisao;CNAE Divisão
47636;Comércio varejista de artigos recreativos e esportivos;47;COMÉRCIO VAREJISTA
47717;Comércio varejista de produtos farmacêuticos para uso humano e veterinário;47;COMÉRCIO VAREJISTA
47725;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;47;COMÉRCIO VAREJISTA
47733;Comércio varejista de artigos médicos e ortopédicos;47;COMÉRCIO VAREJISTA
47741;Comércio varejista de artigos de óptica;47;COMÉRCIO VAREJISTA
47814;Comércio varejista de artigos do vestuário e acessórios;47;COMÉRCIO VAREJISTA
47822;Comércio varejista de calçados e artigos de viagem;47;COMÉRCIO VAREJISTA
47831;Comércio varejista de jóias e relógios;47;COMÉRCIO VAREJISTA
47849;Comércio varejista de gás liqüefeito de petróleo (GLP);47;COMÉRCIO VAREJISTA
47857;Comércio varejista de artigos usados;47;COMÉRCIO VAREJISTA
47890;Comércio varejista de outros produtos novos não especificados anteriormente;47;COMÉRCIO VAREJISTA
47903;Comércio ambulante e outros tipos de comércio varejista;47;COMÉRCIO VAREJISTA
49116;Transporte ferroviário de carga;49;TRANSPORTE TERRESTRE
49124;Transporte metroferroviário de passageiros;49;TRANSPORTE TERRESTRE
49213;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana;49;TRANSPORTE TERRESTRE
49221;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional;49;TRANSPORTE TERRESTRE
49230;Transporte rodoviário de táxi;49;TRANSPORTE TERRESTRE
49248;Transporte escolar;49;TRANSPORTE TERRESTRE
49299;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente;49;TRANSPORTE TERRESTRE
49302;Transporte rodoviário de carga;49;TRANSPORTE TERRESTRE
49400;Transporte dutoviário;49;TRANSPORTE TERRESTRE
49507;Trens turísticos, teleféricos e similares;49;TRANSPORTE TERRESTRE
50114;Transporte marítimo de cabotagem;50;TRANSPORTE AQUAVIÁRIO
50122;Transporte marítimo de longo curso;50;TRANSPORTE AQUAVIÁRIO
50211;Transporte por navegação interior de carga;50;TRANSPORTE AQUAVIÁRIO
50220;Transporte por navegação interior de passageiros em linhas regulares;50;TRANSPORTE AQUAVIÁRIO
50301;Navegação de apoio;50;TRANSPORTE AQUAVIÁRIO
50912;Transporte por navegação de travessia;50;TRANSPORTE AQUAVIÁRIO
50998;Transportes aquaviários não especificados anteriormente;50;TRANSPORTE AQUAVIÁRIO
51111;Transporte aéreo de passageiros regular;51;TRANSPORTE AÉREO
51129;Transporte aéreo de passageiros não regular;51;TRANSPORTE AÉREO
51200;Transporte aéreo de carga;51;TRANSPORTE AÉREO
51307;Transporte espacial;51;TRANSPORTE AÉREO
52117;Armazenamento;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
52125;Carga e descarga;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
52214;Concessionárias de rodovias, pontes, túneis e serviços relacionados;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
52222;Terminais rodoviários e ferroviários;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
52231;Estacionamento de veículos;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
52290;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
52311;Gestão de portos e terminais;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
52320;Atividades de agenciamento marítimo;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
52397;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
52401;Atividades auxiliares dos transportes aéreos;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
52508;Atividades relacionadas à organização do transporte de carga;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
53105;Atividades de Correio;53;CORREIO E OUTRAS ATIVIDADES DE ENTREGA
53202;Atividades de malote e de entrega;53;CORREIO E OUTRAS ATIVIDADES DE ENTREGA
55108;Hotéis e similares;55;ALOJAMENTO
55906;Outros tipos de alojamento não especificados anteriormente;55;ALOJAMENTO
56112;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;56;ALIMENTAÇÃO
56121;Serviços ambulantes de alimentação;56;ALIMENTAÇÃO
56201;Serviços de catering, bufê e outros serviços de comida preparada;56;ALIMENTAÇÃO
58115;Edição de livros;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
58123;Edição de jornais;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
58131;Edição de revistas;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
58191;Edição de cadastros, listas e outros produtos gráficos;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
58212;Edição integrada à impressão de livros;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
58221;Edição integrada à impressão de jornais;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
58239;Edição integrada à impressão de revistas;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
58298;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
59111;Atividades de produção cinematográfica, de vídeos e de programas de televisão;59;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA"
59120;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão;59;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA"
59138;Distribuição cinematográfica, de vídeo e de programas de televisão;59;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA"
59146;Atividades de exibição cinematográfica;59;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA"
59201;Atividades de gravação de som e de edição de música;59;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA"
60101;Atividades de rádio;60;ATIVIDADES DE RÁDIO E DE TELEVISÃO
60217;Atividades de televisão aberta;60;ATIVIDADES DE RÁDIO E DE TELEVISÃO
60225;Programadoras e atividades relacionadas à televisão por assinatura;60;ATIVIDADES DE RÁDIO E DE TELEVISÃO
61108;Telecomunicações por fio;61;TELECOMUNICAÇÕES
61205;Telecomunicações sem fio;61;TELECOMUNICAÇÕES
61302;Telecomunicações por satélite;61;TELECOMUNICAÇÕES
61418;Operadoras de televisão por assinatura por cabo;61;TELECOMUNICAÇÕES
61426;Operadoras de televisão por assinatura por micro-ondas;61;TELECOMUNICAÇÕES
61434;Operadoras de televisão por assinatura por satélite;61;TELECOMUNICAÇÕES
61906;Outras atividades de telecomunicações;61;TELECOMUNICAÇÕES
62015;Desenvolvimento de programas de computador sob encomenda;62;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
62023;Desenvolvimento e licenciamento de programas de computador customizáveis;62;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
62031;Desenvolvimento e licenciamento de programas de computador não customizáveis;62;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
62040;Consultoria em tecnologia da informação;62;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
62091;Suporte técnico, manutenção e outros serviços em tecnologia da informação;62;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
63119;Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet;63;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
63194;Portais, provedores de conteúdo e outros serviços de informação na Internet;63;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
63917;Agências de notícias;63;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
63992;Outras atividades de prestação de serviços de informação não especificadas anteriormente;63;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
64107;Banco Central;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64212;Bancos comerciais;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64221;Bancos múltiplos, com carteira comercial;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64239;Caixas econômicas;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64247;Crédito cooperativo;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64310;Bancos múltiplos, sem carteira comercial;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64328;Bancos de investimento;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64336;Bancos de desenvolvimento;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64344;Agências de fomento;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64352;Crédito imobiliário;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64361;Sociedades de crédito, financiamento e investimento - financeiras;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64379;Sociedades de crédito ao microempreendedor;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64387;Bancos de câmbio e outras instituições de intermediação não monetária;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64409;Arrendamento mercantil;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64506;Sociedades de capitalização;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64611;Holdings de instituições financeiras;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64620;Holdings de instituições não financeiras;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64638;Outras sociedades de participação, exceto holdings;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64701;Fundos de investimento;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64913;Sociedades de fomento mercantil - factoring;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64921;Securitização de créditos;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64930;Administração de consórcios para aquisição de bens e direitos;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
64999;Outras atividades de serviços financeiros não especificadas anteriormente;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
65111;Seguros de vida;65;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
65120;Seguros não vida;65;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
65201;Seguros-saúde;65;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
65308;Resseguros;65;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
65413;Previdência complementar fechada;65;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
65421;Previdência complementar aberta;65;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
65502;Planos de saúde;65;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
66118;Administração de bolsas e mercados de balcão organizados;66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
66126;Atividades de intermediários em transações de títulos, valores mobiliários e mercadorias;66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
66134;Administração de cartões de crédito;66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
66193;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
66215;Avaliação de riscos e perdas;66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
66223;Corretores e agentes de seguros, de planos de previdência complementar e de saúde;66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
66291;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
66304;"Atividades de administração de fundos por contrato ou
comissão";66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
68102;Atividades imobiliárias de imóveis próprios;68;ATIVIDADES IMOBILIÁRIAS
68218;Intermediação na compra, venda e aluguel de imóveis;68;ATIVIDADES IMOBILIÁRIAS
68226;Gestão e administração da propriedade imobiliária;68;ATIVIDADES IMOBILIÁRIAS
69117;Atividades jurídicas, exceto cartórios;69;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA
69125;Cartórios;69;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA
69206;Atividades de contabilidade, consultoria e auditoria contábil e tributária;69;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA
70107;Sedes de empresas e unidades administrativas locais;70;ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL
70204;Atividades de consultoria em gestão empresarial;70;ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL
71111;Serviços de arquitetura;71;"SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS"
71120;Serviços de engenharia;71;"SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS"
71197;Atividades técnicas relacionadas à arquitetura e engenharia;71;"SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS"
71201;Testes e análises técnicas;71;"SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS"
72100;Pesquisa e desenvolvimento experimental em ciências físicas e naturais;72;PESQUISA E DESENVOLVIMENTO CIENTÍFICO
72207;Pesquisa e desenvolvimento experimental em ciências sociais e humanas;72;PESQUISA E DESENVOLVIMENTO CIENTÍFICO
73114;Agências de publicidade;73;PUBLICIDADE E PESQUISA DE MERCADO
73122;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;73;PUBLICIDADE E PESQUISA DE MERCADO
73190;Atividades de publicidade não especificadas anteriormente;73;PUBLICIDADE E PESQUISA DE MERCADO
73203;Pesquisas de mercado e de opinião pública;73;PUBLICIDADE E PESQUISA DE MERCADO
74102;Design e decoração de interiores;74;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
74200;Atividades fotográficas e similares;74;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
74901;Atividades profissionais, científicas e técnicas não especificadas anteriormente;74;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
75001;Atividades veterinárias;75;ATIVIDADES VETERINÁRIAS
77110;Locação de automóveis sem condutor;77;ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS
77195;Locação de meios de transporte, exceto automóveis, sem condutor;77;ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS
77217;Aluguel de equipamentos recreativos e esportivos;77;ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS
77225;Aluguel de fitas de vídeo, DVDs e similares;77;ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS
77233;Aluguel de objetos do vestuário, jóias e acessórios;77;ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS
77292;Aluguel de objetos pessoais e domésticos não especificados anteriormente;77;ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS
77314;Aluguel de máquinas e equipamentos agrícolas sem operador;77;ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS
77322;Aluguel de máquinas e equipamentos para construção sem operador;77;ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS
77331;Aluguel de máquinas e equipamentos para escritório;77;ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS
77390;Aluguel de máquinas e equipamentos não especificados anteriormente;77;ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS
77403;Gestão de ativos intangíveis não financeiros;77;ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS
78108;Seleção e agenciamento de mão de obra;78;SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO DE OBRA
78205;Locação de mão de obra temporária;78;SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO DE OBRA
78302;Fornecimento e gestão de recursos humanos para terceiros;78;SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO DE OBRA
79112;Agências de viagens;79;AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS
79121;Operadores turísticos;79;AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS
79902;Serviços de reservas e outros serviços de turismo não especificados anteriormente;79;AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS
80111;Atividades de vigilância e segurança privada;80;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO
80129;Atividades de transporte de valores;80;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO
80200;Atividades de monitoramento de sistemas de segurança;80;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO
80307;Atividades de investigação particular;80;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO
81117;Serviços combinados para apoio a edifícios, exceto condomínios prediais;81;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS
81125;Condomínios prediais;81;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS
81214;Limpeza em prédios e em domicílios;81;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS
81222;Imunização e controle de pragas urbanas;81;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS
81290;Atividades de limpeza não especificadas anteriormente;81;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS
81303;Atividades paisagísticas;81;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS
82113;Serviços combinados de escritório e apoio administrativo;82;"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS
EMPRESAS"
82199;Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo;82;"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS
EMPRESAS"
82202;Atividades de teleatendimento;82;"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS
EMPRESAS"
82300;Atividades de organização de eventos, exceto culturais e esportivos;82;"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS
EMPRESAS"
82911;Atividades de cobrança e informações cadastrais;82;"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS
EMPRESAS"
82920;Envasamento e empacotamento sob contrato;82;"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS
EMPRESAS"
82997;Atividades de serviços prestados principalmente às empresas não especificadas anteriormente;82;"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS
EMPRESAS"
84116;Administração pública em geral;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL
84124;Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL
84132;Regulação das atividades econômicas;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL
84213;Relações exteriores;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL
84221;Defesa;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL
84230;Justiça;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL
84248;Segurança e ordem pública;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL
84256;Defesa Civil;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL
84302;Seguridade social obrigatória;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL
85112;Educação infantil - creche;85;EDUCAÇÃO
85121;Educação infantil - pré-escola;85;EDUCAÇÃO
85139;Ensino fundamental;85;EDUCAÇÃO
85201;Ensino médio;85;EDUCAÇÃO
85317;Educação superior - graduação;85;EDUCAÇÃO
85325;Educação superior - graduação e pós-graduação;85;EDUCAÇÃO
85333;Educação superior - pós-graduação e extensão;85;EDUCAÇÃO
85414;Educação profissional de nível técnico;85;EDUCAÇÃO
85422;Educação profissional de nível tecnológico;85;EDUCAÇÃO
85503;Atividades de apoio à educação;85;EDUCAÇÃO
85911;Ensino de esportes;85;EDUCAÇÃO
85929;Ensino de arte e cultura;85;EDUCAÇÃO
85937;Ensino de idiomas;85;EDUCAÇÃO
85996;Atividades de ensino não especificadas anteriormente;85;EDUCAÇÃO
86101;Atividades de atendimento hospitalar;86;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA
86216;Serviços móveis de atendimento a urgências;86;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA
86224;Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências;86;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA
86305;Atividades de atenção ambulatorial executadas por médicos e odontólogos;86;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA
86402;Atividades de serviços de complementação diagnóstica e terapêutica;86;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA
86500;Atividades de profissionais da área de saúde, exceto médicos e odontólogos;86;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA
86607;Atividades de apoio à gestão de saúde;86;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA
86909;Atividades de atenção à saúde humana não especificadas anteriormente;86;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA
87115;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;87;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES
87123;Atividades de fornecimento de infraestrutura de apoio e assistência a paciente no domicílio;87;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES
87204;"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência
química";87;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES
87301;Atividades de assistência social prestadas em residências coletivas e particulares;87;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES
88006;Serviços de assistência social sem alojamento;88;SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO
90019;Artes cênicas, espetáculos e atividades complementares;90;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS
90027;Criação artística;90;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS
90035;Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas;90;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS
91015;Atividades de bibliotecas e arquivos;91;ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL
91023;"Atividades de museus e de exploração, restauração artística
e conservação de lugares e prédios históricos e atrações
similares";91;ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL
91031;Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental;91;ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL
92003;Atividades de exploração de jogos de azar e apostas;92;"ATIVIDADES DE EXPLORAÇÃO DE JOGOS DE AZAR E
APOSTAS"
93115;Gestão de instalações de esportes;93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
93123;Clubes sociais, esportivos e similares;93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
93131;Atividades de condicionamento físico;93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
93191;Atividades esportivas não especificadas anteriormente;93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
93212;Parques de diversão e parques temáticos;93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
93298;"Atividades de recreação e lazer não especificadas
anteriormente";93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
94111;Atividades de organizações associativas patronais e empresariais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
94120;Atividades de organizações associativas profissionais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
