cod_cnae_classe;CNAE Classe;cod_cnae_divisao;CNAE Divisão
25225;Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos;25;"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS"
25314;Produção de forjados de aço e de metais não ferrosos e suas ligas;25;"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS"
25322;"Produção de artefatos estampados de metal; metalurgia do pó";25;"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS"
25390;Serviços de usinagem, solda, tratamento e revestimento em metais;25;"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS"
25411;Fabricação de artigos de cutelaria;25;"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS"
25420;Fabricação de artigos de serralheria, exceto esquadrias;25;"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS"
25438;Fabricação de ferramentas;25;"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS"
25501;Fabricação de equipamento bélico pesado, armas de fogo e munições;25;"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS"
25918;Fabricação de embalagens metálicas;25;"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS"
25926;Fabricação de produtos de trefilados de metal;25;"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS"
25934;Fabricação de artigos de metal para uso doméstico e pessoal;25;"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS"
25993;Fabricação de produtos de metal não especificados anteriormente;25;"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS"
26108;Fabricação de componentes eletrônicos;26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
26213;Fabricação de equipamentos de informática;26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
